0.0000e+00,2.0000e+01,-4.0000e+01,1.5708e+00
1.5000e+01,2.0000e+01,0.0000e+00,1.5836e+00
1.5152e+01,1.9994e+01,4.7634e-01,1.6107e+00
1.5303e+01,1.9976e+01,9.3594e-01,1.6397e+00
1.5455e+01,1.9945e+01,1.3792e+00,1.6707e+00
1.5606e+01,1.9902e+01,1.8064e+00,1.7038e+00
1.5758e+01,1.9847e+01,2.2181e+00,1.7390e+00
1.5909e+01,1.9780e+01,2.6146e+00,1.7763e+00
1.6061e+01,1.9700e+01,2.9962e+00,1.8158e+00
1.6212e+01,1.9608e+01,3.3633e+00,1.8574e+00
1.6364e+01,1.9504e+01,3.7163e+00,1.9009e+00
1.6515e+01,1.9388e+01,4.0555e+00,1.9463e+00
1.6667e+01,1.9260e+01,4.3813e+00,1.9935e+00
1.6818e+01,1.9119e+01,4.6941e+00,2.0420e+00
1.6970e+01,1.8966e+01,4.9942e+00,2.0918e+00
1.7121e+01,1.8801e+01,5.2818e+00,2.1424e+00
1.7273e+01,1.8624e+01,5.5575e+00,2.1934e+00
1.7424e+01,1.8434e+01,5.8214e+00,2.2446e+00
1.7576e+01,1.8233e+01,6.0739e+00,2.2955e+00
1.7727e+01,1.8019e+01,6.3154e+00,2.3458e+00
1.7879e+01,1.7793e+01,6.5461e+00,2.3951e+00
1.8030e+01,1.7555e+01,6.7664e+00,2.4431e+00
1.8182e+01,1.7304e+01,6.9766e+00,2.4895e+00
1.8333e+01,1.7042e+01,7.1770e+00,2.5342e+00
1.8485e+01,1.6767e+01,7.3678e+00,2.5769e+00
1.8636e+01,1.6481e+01,7.5494e+00,2.6176e+00
1.8788e+01,1.6182e+01,7.7220e+00,2.6561e+00
1.8939e+01,1.5871e+01,7.8860e+00,2.6925e+00
1.9091e+01,1.5548e+01,8.0417e+00,2.7267e+00
1.9242e+01,1.5213e+01,8.1892e+00,2.7588e+00
1.9394e+01,1.4866e+01,8.3289e+00,2.7889e+00
1.9545e+01,1.4507e+01,8.4611e+00,2.8170e+00
1.9697e+01,1.4136e+01,8.5859e+00,2.8432e+00
1.9848e+01,1.3753e+01,8.7038e+00,2.8676e+00
2.0000e+01,1.3358e+01,8.8148e+00,2.8902e+00
2.0152e+01,1.2951e+01,8.9193e+00,2.9113e+00
2.0303e+01,1.2532e+01,9.0176e+00,2.9308e+00
2.0455e+01,1.2101e+01,9.1098e+00,2.9489e+00
2.0606e+01,1.1658e+01,9.1961e+00,2.9657e+00
2.0758e+01,1.1203e+01,9.2769e+00,2.9813e+00
2.0909e+01,1.0737e+01,9.3524e+00,2.9957e+00
2.1061e+01,1.0258e+01,9.4227e+00,3.0090e+00
2.1212e+01,9.7680e+00,9.4881e+00,3.0213e+00
2.1364e+01,9.2659e+00,9.5489e+00,3.0326e+00
2.1515e+01,8.7519e+00,9.6051e+00,3.0431e+00
2.1667e+01,8.2262e+00,9.6571e+00,3.0528e+00
2.1818e+01,7.6887e+00,9.7049e+00,3.0617e+00
2.1970e+01,7.1394e+00,9.7489e+00,3.0699e+00
2.2121e+01,6.5785e+00,9.7892e+00,3.0774e+00
2.2273e+01,6.0058e+00,9.8260e+00,3.0844e+00
2.2424e+01,5.4215e+00,9.8595e+00,3.0908e+00
2.2576e+01,4.8256e+00,9.8898e+00,3.0966e+00
2.2727e+01,4.2180e+00,9.9171e+00,3.1020e+00
2.2879e+01,3.5988e+00,9.9416e+00,3.1069e+00
2.3030e+01,2.9681e+00,9.9635e+00,3.1114e+00
2.3182e+01,2.3258e+00,9.9829e+00,3.1155e+00
2.3333e+01,1.6720e+00,1.0000e+01,3.1192e+00
2.3485e+01,1.0067e+00,1.0015e+01,3.1226e+00
2.3636e+01,3.2997e-01,1.0028e+01,3.1256e+00
2.3788e+01,-3.5820e-01,1.0039e+01,3.1284e+00
2.3939e+01,-1.0578e+00,1.0048e+01,3.1309e+00
2.4091e+01,-1.7687e+00,1.0056e+01,3.1331e+00
2.4242e+01,-2.4910e+00,1.0062e+01,3.1351e+00
2.4394e+01,-3.2246e+00,1.0066e+01,3.1369e+00
2.4545e+01,-3.9695e+00,1.0070e+01,3.1385e+00
2.4697e+01,-4.7257e+00,1.0072e+01,3.1398e+00
2.4848e+01,-5.4931e+00,1.0074e+01,3.1410e+00
2.5000e+01,-6.2716e+00,1.0074e+01,3.1421e+00
2.5152e+01,-7.0613e+00,1.0074e+01,3.1430e+00
2.5303e+01,-7.8621e+00,1.0073e+01,3.1437e+00
2.5455e+01,-8.6741e+00,1.0071e+01,3.1444e+00
2.5606e+01,-9.4970e+00,1.0069e+01,3.1449e+00
2.5758e+01,-1.0331e+01,1.0066e+01,3.1453e+00
2.5909e+01,-1.1176e+01,1.0063e+01,3.1456e+00
2.6061e+01,-1.2032e+01,1.0059e+01,3.1458e+00
2.6212e+01,-1.2899e+01,1.0056e+01,3.1459e+00
2.6364e+01,-1.3776e+01,1.0052e+01,3.1460e+00
2.6515e+01,-1.4665e+01,1.0048e+01,3.1460e+00
2.6667e+01,-1.5564e+01,1.0044e+01,3.1460e+00
2.6818e+01,-1.6475e+01,1.0040e+01,3.1459e+00
2.6970e+01,-1.7395e+01,1.0036e+01,3.1457e+00
2.7121e+01,-1.8327e+01,1.0032e+01,3.1455e+00
2.7273e+01,-1.9269e+01,1.0028e+01,3.1453e+00
2.7424e+01,-2.0222e+01,1.0025e+01,3.1451e+00
2.7576e+01,-2.1185e+01,1.0021e+01,3.1448e+00
2.7727e+01,-2.2159e+01,1.0018e+01,3.1446e+00
2.7879e+01,-2.3143e+01,1.0015e+01,3.1443e+00
2.8030e+01,-2.4138e+01,1.0013e+01,3.1440e+00
2.8182e+01,-2.5143e+01,1.0010e+01,3.1437e+00
2.8333e+01,-2.6159e+01,1.0008e+01,3.1434e+00
2.8485e+01,-2.7185e+01,1.0006e+01,3.1431e+00
2.8636e+01,-2.8221e+01,1.0005e+01,3.1429e+00
2.8788e+01,-2.9267e+01,1.0003e+01,3.1426e+00
2.8939e+01,-3.0324e+01,1.0002e+01,3.1424e+00
2.9091e+01,-3.1390e+01,1.0002e+01,3.1422e+00
2.9242e+01,-3.2467e+01,1.0001e+01,3.1420e+00
2.9394e+01,-3.3554e+01,1.0000e+01,3.1418e+00
2.9545e+01,-3.4650e+01,1.0000e+01,3.1417e+00
2.9697e+01,-3.5757e+01,1.0000e+01,3.1416e+00
2.9848e+01,-3.6874e+01,1.0000e+01,3.1416e+00
3.0000e+01,-3.8000e+01,1.0000e+01,3.1416e+00
